sitename,date,gpp_umolCm2s,evsp_umolH2Om2s,trans_umolH2Om2s,evapotrans_umolH2Om2s,mrso_kgm2,chi__,vcmax25_umolCm2s,jmax25_umolCm2s
GF-Guy,2019-01-01,4.9911319841573265,NA,NA,4250.339458508747,459.0399475097656,0.8097899556159973,26.41082573973108,45.16591434367001
GF-Guy,2019-01-02,4.864820267683195,NA,NA,4252.217740678982,461.3548583984375,0.8189990520477295,25.111250579357147,43.1839725933969
GF-Guy,2019-01-03,4.836930260982043,NA,NA,4249.132955025252,465.072509765625,0.8526791930198669,24.004159058677033,42.35377491568215
GF-Guy,2019-01-04,4.5435383547971275,NA,NA,4286.931007487293,465.3317565917969,0.8288435935974121,22.528252884512767,38.8778826163616
GF-Guy,2019-01-05,4.729531521414533,NA,NA,4309.944103284138,460.3589172363281,0.8168671727180481,23.362876163446344,39.87753007095307
GF-Guy,2019-01-06,3.429903982230175,NA,NA,4282.512169315982,458.6250915527344,0.8399395942687988,16.484382285852917,28.678296075668186
GF-Guy,2019-01-07,3.117945413162679,NA,NA,4280.504498462127,454.09490966796875,0.8289987444877625,15.017038094811141,25.93684257590212
GF-Guy,2019-01-08,5.242291056079629,NA,NA,4263.283539210818,448.59136962890625,0.8043106198310852,25.75244798208587,43.770593038061634
GF-Guy,2019-01-09,3.385042518745234,NA,NA,4164.122443630862,468.8365173339844,0.8592682480812073,16.36469824006781,29.517574148485437
GF-Guy,2019-01-10,4.371967580583361,NA,NA,4313.224198396314,463.2514343261719,0.8164107799530029,20.73516952805221,35.5002521246206
GF-Guy,2019-01-11,3.587998863723543,NA,NA,4276.642767490183,459.9224548339844,0.8163758516311646,17.106345694628544,29.49299778265413
GF-Guy,2019-01-12,5.934319378417215,NA,NA,4285.978069030699,454.5810241699219,0.799628496170044,28.440283131203614,48.3275180158671
GF-Guy,2019-01-13,5.5317024205937795,NA,NA,4272.472282005436,451.46148681640625,0.8144626021385193,25.990422727772966,44.70493149710819
GF-Guy,2019-01-14,5.3777283540478455,NA,NA,4280.455747749579,450.7279968261719,0.8158664703369141,24.801587642286904,42.5299076596275
GF-Guy,2019-01-15,4.238909409369951,NA,NA,4273.507084866121,455.0054931640625,0.8471192717552185,18.945944248116575,33.31877087475732
GF-Guy,2019-01-16,3.9759471460624973,NA,NA,4320.400977821507,452.4114685058594,0.8354991674423218,17.58465623424854,30.490828066831455
GF-Guy,2019-01-17,4.848377020270736,NA,NA,4308.443562484083,449.03643798828125,0.8269120454788208,21.686624677386135,37.4681330868043
GF-Guy,2019-01-18,3.284211098044007,NA,NA,4286.848529866693,445.2926940917969,0.8387022614479065,14.57903636037372,25.47215626691468
GF-Guy,2019-01-19,4.0279466796804355,NA,NA,4298.051075680266,440.3314208984375,0.8214265704154968,17.890812159748748,30.70202365051955
GF-Guy,2019-01-20,4.464117465195833,NA,NA,4285.7554714375565,434.9891357421875,0.823204517364502,19.68597644008696,33.80993439350277
GF-Guy,2019-01-21,4.221006400055356,NA,NA,4267.985070193255,429.675537109375,0.8161112666130066,18.707874914980493,31.990955903893337
GF-Guy,2019-01-22,3.8456551178737923,NA,NA,4245.123132266135,424.19720458984375,0.8196660876274109,17.052478142431937,29.272090614540502
GF-Guy,2019-01-23,4.626962781688314,NA,NA,4217.650112791807,418.760498046875,0.8034185171127319,20.981169654987752,35.64649887266569
GF-Guy,2019-01-24,6.313657411086706,NA,NA,4191.396167739429,414.96307373046875,0.7856203317642212,29.282742616487667,49.11766518489458
GF-Guy,2019-01-25,5.649359045941152,NA,NA,4169.957198723844,409.5967712402344,0.7947935461997986,26.073479602928273,44.11480404087342
GF-Guy,2019-01-26,5.993295322965692,NA,NA,4163.0615790685015,404.24285888671875,0.7975948452949524,27.30498272285331,46.036111598368734
GF-Guy,2019-01-27,5.8078646291921165,NA,NA,4122.987880137722,408.34991455078125,0.8311634063720703,26.05400914035272,45.26756674749777
GF-Guy,2019-01-28,3.8163977916593903,NA,NA,4140.681016101759,407.8294982910156,0.8394407629966736,17.270554963033646,30.303870516945608
GF-Guy,2019-01-29,4.186559882428911,NA,NA,4141.627822393252,410.50537109375,0.8518666625022888,18.838247342500836,33.32646519993432
GF-Guy,2019-01-30,4.583247649816819,NA,NA,4149.765512089671,467.768798828125,0.8563747406005859,20.92149770760443,37.307105230866
GF-Guy,2019-01-31,2.9768242880150124,NA,NA,4376.262549019644,483.67645263671875,0.8721565008163452,13.664524885825813,24.7516709350748
GF-Guy,2019-02-01,3.188848265527207,NA,NA,4407.569704722966,519.9346923828125,0.8637036681175232,15.014337805041578,27.129213776788674
GF-Guy,2019-02-02,3.420767822751292,NA,NA,4543.596150453199,513.98388671875,0.8187606930732727,16.27253368496895,27.95213003992103
GF-Guy,2019-02-03,5.786907341745165,NA,NA,4574.373487091849,510.98602294921875,0.8138154745101929,27.835687433253042,47.503654059255496
GF-Guy,2019-02-04,5.263693078800484,NA,NA,4612.246351968114,510.53338623046875,0.8143136501312256,25.511306375847198,43.46017158241011
GF-Guy,2019-02-05,5.339009710300116,NA,NA,4546.8204428629615,513.37969970703125,0.8151976466178894,26.895999326370656,46.39132021111436
GF-Guy,2019-02-06,3.6460186504287484,NA,NA,4568.261558136332,516.59173583984375,0.8488200306892395,17.898279111250304,31.538020266452804
GF-Guy,2019-02-07,4.632140935203175,NA,NA,4644.138209613752,510.4869689941406,0.8178229331970215,23.20734529348556,39.597711293026805
GF-Guy,2019-02-08,4.230248339382219,NA,NA,4625.941929503233,507.80792236328125,0.8070064783096313,21.885884052608162,37.17192885233089
GF-Guy,2019-02-09,4.27470393018958,NA,NA,4537.572524675125,512.463623046875,0.8387519121170044,22.511709175887518,39.761092921253294
GF-Guy,2019-02-10,3.632707406341294,NA,NA,4594.906735322113,508.8304443359375,0.8300899267196655,19.222052287659608,33.47928941366263
GF-Guy,2019-02-11,4.136630874357106,NA,NA,4616.791206132238,510.9632873535156,0.8232258558273315,22.070935301599093,38.18352342932485
GF-Guy,2019-02-12,2.9653717798215373,NA,NA,4576.967392929297,530.6138916015625,0.8792287111282349,15.356054063886404,27.81451439659577
GF-Guy,2019-02-13,3.267062574992945,NA,NA,4683.37640104961,526.84222412109375,0.8375407457351685,17.086258594645187,29.657199775101617
GF-Guy,2019-02-14,4.088201640564718,NA,NA,4723.520619879043,520.80792236328125,0.823063850402832,21.5890868275892,36.92166501423344
GF-Guy,2019-02-15,4.34472053139298,NA,NA,4722.990187597863,514.9752197265625,0.8144500255584717,23.421818696078844,39.898579416330904
GF-Guy,2019-02-16,5.061076839029053,NA,NA,4729.872009881729,510.3323974609375,0.8029618263244629,27.455014787847176,46.357105020433664
GF-Guy,2019-02-17,4.567931187741551,NA,NA,4716.819083249127,504.50970458984375,0.8008277416229248,24.857079552020878,42.02316267765127
GF-Guy,2019-02-18,3.7594390228206733,NA,NA,4722.6952304565375,499.875732421875,0.8128414750099182,19.948112822021358,33.920510759344324
GF-Guy,2019-02-19,3.649856159348546,NA,NA,4694.205498008571,496.4845275878906,0.8260166049003601,19.216848158976063,33.13980414532125
GF-Guy,2019-02-20,2.8831293277534438,NA,NA,4657.572863523852,498.1499328613281,0.8409993648529053,15.165483091550414,26.63359555299394
GF-Guy,2019-02-21,5.489385882277547,NA,NA,4712.509091008347,493.9331359863281,0.7982968688011169,29.237849958008155,49.39806240145117
GF-Guy,2019-02-22,4.198278449935677,NA,NA,4703.419689288355,488.5276184082031,0.8002445697784424,22.02047107857652,37.24651105585508
GF-Guy,2019-02-23,4.616697997222713,NA,NA,4677.279802506842,484.962890625,0.8101543188095093,23.916301870485768,40.9069616580382
GF-Guy,2019-02-24,5.293947495060202,NA,NA,4683.30373489317,479.18902587890625,0.7973136901855469,27.326161216478795,46.1580311821308
GF-Guy,2019-02-25,5.351139899389243,NA,NA,4666.903565940543,474.04046630859375,0.8150023221969604,26.843161322176456,45.9592993138358
GF-Guy,2019-02-26,5.582740277419855,NA,NA,4663.991400734388,470.6972351074219,0.8052051067352295,27.784584744949825,47.116340283537284
GF-Guy,2019-02-27,5.327418538523309,NA,NA,4670.224746558892,464.5449523925781,0.7922098636627197,26.361894924775697,44.10223482409492
GF-Guy,2019-02-28,6.1091923235375205,NA,NA,4590.776722127027,464.91351318359375,0.8125606775283813,30.304854590212926,52.326377044664696
GF-Guy,2019-03-01,5.638237444706905,NA,NA,4638.133900155747,460.00946044921875,0.7965788245201111,27.441245038062334,46.27500311471522
GF-Guy,2019-03-02,6.193761012436431,NA,NA,4569.971512374564,460.6085205078125,0.8214266896247864,30.029876143089496,52.31370232650079
GF-Guy,2019-03-03,5.804577635394202,NA,NA,4606.024963865555,454.7502136230469,0.8022597432136536,27.918455089093186,47.48837818624452
GF-Guy,2019-03-04,5.870316131615344,NA,NA,4591.591686868864,449.31402587890625,0.7972870469093323,28.01222581183538,47.326164349215105
GF-Guy,2019-03-05,5.13308808023547,NA,NA,4567.852236115884,443.3143310546875,0.8075236082077026,24.076818590401672,40.99657235201448
GF-Guy,2019-03-06,5.19612827050833,NA,NA,4531.960060567032,445.7698669433594,0.8251920938491821,23.926293579279445,41.3902489526663
GF-Guy,2019-03-07,5.253012073628696,NA,NA,4578.34498381909,439.75537109375,0.799701988697052,24.204715373343788,40.73907257406972
GF-Guy,2019-03-08,4.286324996271252,NA,NA,4525.225410245574,433.8244323730469,0.8064558506011963,19.968496417277493,34.074771974701434
GF-Guy,2019-03-09,4.4908848257712375,NA,NA,4504.16540903319,428.1257629394531,0.8170202374458313,20.50783223239705,35.14551281114109
GF-Guy,2019-03-10,5.642059776518081,NA,NA,4474.4762250915965,422.67022705078125,0.8224577307701111,25.48505290178582,43.77999357529916
GF-Guy,2019-03-11,5.721541374553869,NA,NA,4441.178875204958,419.2669372558594,0.8232783079147339,25.882585759973153,44.5644800493028
GF-Guy,2019-03-12,5.4567270440819815,NA,NA,4430.239705882445,413.4788513183594,0.8061580657958984,24.871433197404258,42.15153603581712
GF-Guy,2019-03-13,5.440153181552887,NA,NA,4397.210025002436,407.9424133300781,0.802553117275238,24.930903236963786,42.147596104769036
GF-Guy,2019-03-14,3.550012630444986,NA,NA,4304.860231807694,417.142822265625,0.8915405869483948,15.74331872689072,28.90742507588584
GF-Guy,2019-03-15,4.9260759979118545,NA,NA,4421.273867289226,412.3663024902344,0.8219682574272156,22.23080264229793,38.148693420225754
GF-Guy,2019-03-16,6.292640794942408,NA,NA,4405.506844383209,407.2172546386719,0.810600221157074,28.5644200630486,48.45803778152913
GF-Guy,2019-03-17,7.066708747987393,NA,NA,4370.642419705176,401.5223388671875,0.7884691953659058,33.015570807037875,55.16640158020891
GF-Guy,2019-03-18,5.916950327378732,NA,NA,4332.6453784856285,395.88494873046875,0.7958122491836548,27.55540299403947,46.32081254385412
GF-Guy,2019-03-19,5.077506289070035,NA,NA,4297.9026772848365,391.9013977050781,0.8204354047775269,23.105525542632677,39.53198392991908
GF-Guy,2019-03-20,4.672899750279792,NA,NA,4272.091167944449,388.5568542480469,0.8157249689102173,21.439860574901104,36.540583096211776
GF-Guy,2019-03-21,6.782795176093961,NA,NA,4261.28537321287,383.0292663574219,0.8052160739898682,31.2462798319757,52.59762110654265
GF-Guy,2019-03-22,5.530783975565876,NA,NA,4202.854424837686,380.79296875,0.8261275887489319,25.616820494178683,44.24822691362351
GF-Guy,2019-03-23,5.820443232854207,NA,NA,4210.045001634354,375.9440612792969,0.803483247756958,27.05138103920035,45.46358104562387
GF-Guy,2019-03-24,3.3963924664774057,NA,NA,4160.833763487545,382.369873046875,0.8080698847770691,16.038653484429233,27.22598219406791
GF-Guy,2019-03-25,3.8322748869289582,NA,NA,4181.275949066068,378.16156005859375,0.814484179019928,18.605795048642904,32.12695810361765
GF-Guy,2019-03-26,7.1239273673222385,NA,NA,4194.498736671951,373.3333435058594,0.7880474925041199,34.20678694965318,56.70405153068714
GF-Guy,2019-03-27,6.732834893980145,NA,NA,4163.141297214807,368.1549072265625,0.795221209526062,32.17929770471528,53.603183914674446
GF-Guy,2019-03-28,6.105588910020427,NA,NA,4126.374368314389,362.8346862792969,0.8002477288246155,29.19257167377509,48.828034778125584
GF-Guy,2019-03-29,6.319666166364411,NA,NA,4087.799370534135,358.774169921875,0.7963172793388367,30.495684768538922,50.81237759441137
GF-Guy,2019-03-30,5.810973176985611,NA,NA,4042.0785607624443,353.9809875488281,0.80423736572265625,28.39863554982003,47.90926323039457
GF-Guy,2019-03-31,5.849969607812387,NA,NA,4014.39858071598,348.8326416015625,0.7983992695808411,28.704251235467382,48.01441536983475
GF-Guy,2019-04-01,6.207154120927975,NA,NA,3967.564782978575,343.7552795410156,0.8055863976478577,30.643164791399613,51.67955532670021
GF-Guy,2019-04-02,5.476295396133705,NA,NA,3924.6117259249277,341.9464111328125,0.8140301704406738,27.13617868721485,46.17451850208454
GF-Guy,2019-04-03,3.5748306523870537,NA,NA,3908.3041526653155,337.3599853515625,0.8025631904602051,18.058943169307895,30.473880542558618
GF-Guy,2019-04-04,5.28120470267755,NA,NA,3868.7305317984687,338.0362854003906,0.8034475445747375,26.998015528079122,45.68256554193795
GF-Guy,2019-04-05,4.398144413659602,NA,NA,3844.376024885923,354.5456237792969,0.8478964567184448,22.513533622259274,40.01417619292624
GF-Guy,2019-04-06,4.298723774191774,NA,NA,3996.4248981986025,352.6206970214844,0.8210601806640625,22.166661437950097,38.22530197794549
GF-Guy,2019-04-07,3.774386865121347,NA,NA,3948.8874345159334,364.1648864746094,0.8639842867851257,19.55910374817904,35.330274840816855
GF-Guy,2019-04-08,3.518699725836883,NA,NA,4062.0464233704556,364.1351623535156,0.82773590087890625,18.44936195993796,32.072417525341734
GF-Guy,2019-04-09,3.4072229431735144,NA,NA,4055.108185167666,371.51507568359375,0.8273208737373352,18.14724237192422,31.639032386010513
GF-Guy,2019-04-10,5.655199473286853,NA,NA,4135.4220713117,366.9720153808594,0.8178709745407104,29.81937723234296,51.00314592709765
GF-Guy,2019-04-11,4.563617209593455,NA,NA,4071.505594645999,393.72589111328125,0.8531553745269775,24.237564502982423,43.12221790314652
GF-Guy,2019-04-12,4.20904959793444,NA,NA,4278.3189948203635,404.959716796875,0.8429177403450012,22.34039129689336,39.15146226063371
GF-Guy,2019-04-13,4.03421022641806,NA,NA,4383.484706466581,404.8316650390625,0.8345844745635986,21.16823452524841,36.45231845439412
GF-Guy,2019-04-14,4.035789105627272,NA,NA,4346.164043057603,409.1593322753906,0.8455058336257935,21.832369384355843,38.385576772270724
GF-Guy,2019-04-15,3.248630666438444,NA,NA,4364.49461758382,413.0565185546875,0.8485620617866516,17.77807301550638,31.408348149852827
GF-Guy,2019-04-16,4.470008022991228,NA,NA,4427.962832980686,411.456787109375,0.8255676031112671,24.395289074163884,41.80170071776956
GF-Guy,2019-04-17,3.761779516935349,NA,NA,4427.908563319547,405.8573913574219,0.8163683414459229,20.7316243177047,35.134722565999255
GF-Guy,2019-04-18,4.835366558881454,NA,NA,4401.291594093229,401.699951171875,0.8159013390541077,26.67034277692437,45.02185038290918
GF-Guy,2019-04-19,2.9792158324041487,NA,NA,4357.947918122687,402.4090270996094,0.8292723894119263,16.57357825024519,28.415586712071672
GF-Guy,2019-04-20,4.403881360719234,NA,NA,4360.610197601004,399.5135192871094,0.8188261389732361,25.028939489857294,42.600848246365786
GF-Guy,2019-04-21,3.3658804992834725,NA,NA,4346.396145506651,394.04241943359375,0.8090317249298096,19.473642169032246,32.857431506272405
GF-Guy,2019-04-22,2.2222545503834144,NA,NA,4275.523953967624,404.67724609375,0.843090295791626,12.900959518447053,22.564992832485586
GF-Guy,2019-04-23,2.5228852475131,NA,NA,4345.690333303601,433.8016357421875,0.8492349982261658,14.651098354079295,25.703880965011194
