sitename,date,gpp_umolCm2s,evsp_umolH2Om2s,trans_umolH2Om2s,evapotrans_umolH2Om2s,mrso_kgm2,chi__,vcmax25_umolCm2s,jmax25_umolCm2s
CH-Oe2,2019-01-01,0.650878236801536,NA,NA,479.70440529992067,222.75596618652344,0.7962493896484375,5.351360869099153,15.481238733627833
CH-Oe2,2019-01-02,0.5589922269185384,NA,NA,450.55443030080687,222.75596618652344,0.6864452362060547,4.920562787447125,14.910456229699776
CH-Oe2,2019-01-03,0.7967431857078164,NA,NA,395.3963717438066,222.75596618652344,0.6613265872001648,7.210823241621256,25.62793088145554
CH-Oe2,2019-01-04,0.8410841433538332,NA,NA,403.4111115299625,222.75596618652344,0.6915620565414429,7.5500870480027515,26.698482542997226
CH-Oe2,2019-01-05,0.18744387399451232,NA,NA,398.72284135455453,222.75596618652344,0.8282167911529541,1.6211694173762226,6.068717993912287
CH-Oe2,2019-01-06,0.4598655864412402,NA,NA,456.6164970888523,222.75596618652344,0.7774210572242737,3.98437396142981,12.807385246560443
CH-Oe2,2019-01-07,0.5168715537882146,NA,NA,465.8616174763613,222.75596618652344,0.7814645767211914,4.509987320489017,14.394466234080028
CH-Oe2,2019-01-08,0.2743309524692135,NA,NA,475.23367368144756,222.75596618652344,0.7895230650901794,2.4095281787595013,7.64315791457193
CH-Oe2,2019-01-09,0.4298402640370675,NA,NA,462.51299541918826,222.75596618652344,0.7271369695663452,3.93464461012627,12.859686648880597
CH-Oe2,2019-01-10,0.32650634508441995,NA,NA,428.38055962397726,222.75596618652344,0.7834692597389221,2.993311227328377,11.038359843951184
CH-Oe2,2019-01-11,0.39648931519484815,NA,NA,421.62517491927366,222.75596618652344,0.7510422468185425,3.7167883419897407,14.113034922047518
CH-Oe2,2019-01-12,0.4459402730895413,NA,NA,469.61852675112186,222.75596618652344,0.8203955888748169,4.13402858612244,14.31358396075666
CH-Oe2,2019-01-13,0.18749138869253204,NA,NA,519.6660389134913,222.75596618652344,0.9043561816215515,1.696775370874093,5.432512352854246
CH-Oe2,2019-01-14,0.38246399964447375,NA,NA,579.9316161086039,222.75596618652344,0.732288122177124,3.655223963505705,10.091514013765845
CH-Oe2,2019-01-15,1.1135277878723029,NA,NA,541.2390340625504,222.75596618652344,0.7217626571655273,11.158167581015732,33.94982923055068
CH-Oe2,2019-01-16,0.7044423348557802,NA,NA,488.44986920984684,222.75596618652344,0.8014903664588928,7.153445039875805,25.53182093834039
CH-Oe2,2019-01-17,0.3836034900612301,NA,NA,589.254729970983,222.75596618652344,0.7449650764465332,3.9403375922120176,11.374343557690736
CH-Oe2,2019-01-18,0.7321729244273386,NA,NA,511.50071614808996,222.75596618652344,0.6752352118492126,8.157154297805391,27.840638722409494
CH-Oe2,2019-01-19,0.2687139563078498,NA,NA,453.6277181449741,222.75596618652344,0.7146797180175781,3.0368876196007477,12.422390682331752
CH-Oe2,2019-01-20,0.2007947855249599,NA,NA,480.5941824559811,222.75596618652344,0.7621122002601624,2.306709347976721,9.068816325452644
CH-Oe2,2019-01-21,0.34264426816392834,NA,NA,519.7041733152091,222.75596618652344,0.7740042805671692,4.0368581721850205,14.828302482783329
CH-Oe2,2019-01-22,0.1204240187588665,NA,NA,508.46598429199105,222.75596618652344,0.7407299876213074,1.4691822798340581,5.632368356600637
CH-Oe2,2019-01-23,0.29872254939910803,NA,NA,504.71329088073696,222.75596618652344,0.7335665225982666,3.742235776371672,14.776170246477704
CH-Oe2,2019-01-24,0.24342742737060713,NA,NA,528.099912184256,222.75596618652344,0.6767216920852661,3.185388095516828,12.032313861709554
CH-Oe2,2019-01-25,0.4641450424161222,NA,NA,534.9754106728627,222.75596618652344,0.6294755935668945,6.343575932987733,23.91612360952422
CH-Oe2,2019-01-26,0.4497414489311201,NA,NA,603.0099044856712,222.75596618652344,0.7161373496055603,6.098119683883851,20.7788707484724
CH-Oe2,2019-01-27,0.47092268496383854,NA,NA,662.3706423941953,222.75596618652344,0.7854835987091064,6.19300681137247,19.670205801958218
CH-Oe2,2019-01-28,0.4138736870645741,NA,NA,625.1041719942916,222.75596618652344,0.8435444235801697,5.447965122584719,19.236367734265514
CH-Oe2,2019-01-29,0.42842439502293683,NA,NA,582.1103743687579,222.75596618652344,0.8298277258872986,5.736920684284996,22.542350052390248
CH-Oe2,2019-01-30,0.26964611247365855,NA,NA,602.7650777940397,222.75596618652344,0.7966660261154175,3.659054527815897,14.046773685549852
CH-Oe2,2019-01-31,0.2189616839412922,NA,NA,594.3068291670011,222.75596618652344,0.8201218247413635,2.971411731778062,11.952643944823649
CH-Oe2,2019-02-01,0.22102197643691376,NA,NA,694.3445944001154,222.75596618652344,0.9190935492515564,2.824584726113244,9.835343007580377
CH-Oe2,2019-02-02,0.5972700446476171,NA,NA,717.6800887771104,222.75596618652344,0.8968247771263123,7.497962997149443,25.640105377533473
CH-Oe2,2019-02-03,0.5048417405765734,NA,NA,732.6789813522448,222.75596618652344,0.7515631914138794,6.4875562202360015,21.493355234269984
CH-Oe2,2019-02-04,0.4436860125465893,NA,NA,665.92407876572,222.6492462158203,0.7541255950927734,5.643223630613647,21.62586315535009
CH-Oe2,2019-02-05,0.07328200786386008,NA,NA,618.6329364899254,222.55606079101562,0.9008887410163879,0.8843767318467144,3.9140782064350788
CH-Oe2,2019-02-06,0,NA,NA,617.484113684407,222.44798278808594,0.8777092099189758,0,NA
CH-Oe2,2019-02-07,0.23965651951270342,NA,NA,717.9400925773651,222.75596618652344,0.8823110461235046,2.7253033749730093,10.517273040022701
CH-Oe2,2019-02-08,1.136684951222973,NA,NA,837.9627371766439,222.46017456054688,0.7943786978721619,12.626850548258517,40.79509017174132
CH-Oe2,2019-02-09,1.440541358825601,NA,NA,976.1427226380558,222.4280242919922,0.7276771068572998,15.440626157214865,41.77566370344721
CH-Oe2,2019-02-10,0.9032411868741482,NA,NA,979.47218167929,222.75596618652344,0.7329394817352295,9.481301276537124,26.175908715231344
CH-Oe2,2019-02-11,0.46228610531047537,NA,NA,893.2429024712048,222.75596618652344,0.77522212266922,4.803533556696493,15.391129636554979
CH-Oe2,2019-02-12,1.5292200547309571,NA,NA,914.4446333494697,222.33120727539062,0.7266563177108765,15.824069123482332,49.91069727111608
CH-Oe2,2019-02-13,1.8405749887963874,NA,NA,915.3063558501962,221.8916778564453,0.6778928637504578,19.115799659630284,61.06028740759939
CH-Oe2,2019-02-14,1.927459106585126,NA,NA,937.5107723744318,221.41635131835938,0.6871237754821777,19.549974240362644,62.301412981469184
CH-Oe2,2019-02-15,2.651349123981264,NA,NA,1052.4279296152877,220.81858825683594,0.6538829207420349,26.37680881889537,73.7157606636174
CH-Oe2,2019-02-16,2.642188359189917,NA,NA,1053.2373754085336,220.20388793945312,0.6521990299224854,26.071655156556517,74.51123383361846
CH-Oe2,2019-02-17,2.8047701458872103,NA,NA,1086.1032508282995,219.54127502441406,0.644890546798706,27.37666181928944,76.90140773775056
CH-Oe2,2019-02-18,2.9347337966347915,NA,NA,1123.584730267034,218.8251495361328,0.656075119972229,28.033391572535038,77.59211439406499
CH-Oe2,2019-02-19,2.9453442052558616,NA,NA,1178.195186480573,218.03713989257812,0.6891884803771973,27.092652089777403,73.32736277021468
CH-Oe2,2019-02-20,3.0951843493514595,NA,NA,1226.0807271847511,217.1823272705078,0.6650323867797852,28.321299396338873,73.88261292362586
CH-Oe2,2019-02-21,3.4059062140223424,NA,NA,1269.6426315808003,216.26712036132812,0.6557403802871704,30.906339816283435,78.9567711763084
CH-Oe2,2019-02-22,2.6050072025369713,NA,NA,1313.8042617236636,215.28524780273438,0.7007333636283875,22.651220206171274,57.64313755207695
